"A1";"A4";"A6";"A7";"A9";"A10";"A11";"A12";"A14";"A15";"A16"
"b";"u";"k";"v";"f";"f";0;"t";100;1212;"-"
"a";"u";"aa";"v";"f";"f";0;"f";220;1000;"-"
"a";"y";"j";"j";"t";"t";11;"t";0;0;"+"
"b";"y";"k";"v";"t";"t";11;"f";380;2732;"+"
"b";"y";"c";"bb";"f";"f";0;"f";200;1210;"-"
"a";"u";"cc";"v";"t";"f";0;"f";80;1349;"+"
"b";"u";"w";"v";"f";"t";2;"f";220;1;"-"
"b";"u";"d";"h";"f";"f";0;"t";252;0;"-"
"a";"u";"ff";"ff";"f";"t";1;"f";0;10;"-"
"a";"u";"ff";"ff";"f";"f";0;"f";340;1;"-"
"b";"u";"cc";"v";"t";"t";67;"t";140;258;"+"
"b";"u";"m";"v";"f";"f";0;"f";0;0;"-"
"a";"u";"q";"h";"t";"t";8;"f";0;6590;"+"
"b";"u";"m";"v";"t";"f";0;"f";200;0;"-"
"b";"u";"m";"v";"t";"t";3;"t";396;0;"+"
"a";"y";"x";"v";"f";"f";0;"f";164;0;"+"
"b";"u";"c";"v";"f";"f";0;"f";360;0;"-"
"a";"u";"cc";"v";"t";"f";0;"f";440;11177;"+"
"a";"u";"cc";"h";"t";"t";7;"f";96;0;"+"
"b";"u";"e";"v";"t";"t";5;"f";0;0;"+"
"b";"u";"q";"v";"t";"t";3;"t";0;582;"+"
"b";"u";"q";"v";"t";"t";2;"f";0;38;"-"
"a";"u";"d";"v";"f";"f";0;"t";180;1062;"-"
"b";"u";"q";"v";"t";"t";1;"f";200;300;"+"
"a";"u";"e";"bb";"t";"t";6;"f";375;51100;"+"
"b";"u";"c";"v";"f";"t";2;"t";180;173;"-"
"b";"u";"m";"v";"t";"f";0;"f";288;0;"-"
"b";"u";"i";"bb";"f";"f";0;"t";640;4000;"-"
"a";"u";"q";"v";"t";"t";2;"f";200;0;"-"
"b";"u";"ff";"ff";"f";"t";5;"f";176;146;"-"
"b";"y";"w";"v";"t";"f";0;"t";160;300;"+"
"a";"u";"d";"v";"f";"f";0;"f";80;42;"-"
"a";"u";"i";"bb";"f";"f";0;"t";73;0;"-"
"a";"u";"aa";"v";"t";"t";2;"f";88;591;"+"
"b";"y";"i";"h";"t";"t";2;"t";75;0;"-"
"a";"u";"w";"v";"f";"f";0;"t";360;6;"-"
"b";"u";"i";"bb";"f";"f";0;"f";180;0;"-"
"b";"y";"w";"v";"t";"t";2;"t";120;1000;"+"
"b";"y";"w";"v";"f";"f";0;"f";160;0;"-"
"b";"u";"c";"v";"f";"f";0;"f";460;16;"-"
"b";"u";"e";"bb";"t";"f";0;"t";420;0;"-"
"b";"u";"i";"bb";"t";"t";2;"f";274;610;"+"
"b";"u";"q";"v";"t";"t";2;"t";520;2000;"+"
"b";"u";"c";"v";"t";"t";3;"f";200;1391;"+"
"b";"u";"c";"v";"t";"t";11;"f";32;540;"+"
"a";"u";"w";"h";"f";"t";3;"f";0;33;"-"
"b";"y";"c";"h";"t";"f";0;"t";200;100;"-"
"a";"u";"w";"v";"f";"f";0;"f";220;5;"-"
"b";"u";"aa";"v";"t";"f";0;"t";20;0;"+"
"a";"u";"aa";"v";"f";"t";10;"t";0;10;"-"
"b";"u";"i";"bb";"f";"f";0;"t";178;0;"-"
"b";"y";"ff";"ff";"f";"f";0;"f";100;0;"-"
"a";"u";"q";"v";"t";"f";0;"t";228;0;"+"
"b";"u";"i";"v";"f";"f";0;"f";160;10;"-"
"a";"u";"i";"v";"f";"t";6;"t";240;35;"-"
"a";"u";"x";"h";"t";"t";11;"f";0;3000;"+"
"a";"u";"c";"v";"t";"t";5;"t";300;1430;"+"
"a";"u";"q";"v";"t";"t";2;"t";49;0;"+"
"a";"y";"q";"v";"t";"f";0;"t";268;0;"-"
"b";"u";"ff";"ff";"f";"f";0;"t";100;4208;"-"
"b";"u";"cc";"v";"t";"f";0;"f";0;0;"+"
"a";"y";"q";"h";"t";"t";23;"t";455;1236;"+"
"b";"u";"q";"v";"t";"f";0;"t";280;0;"+"
"b";"y";"ff";"ff";"t";"f";0;"t";0;0;"-"
"b";"y";"d";"v";"t";"f";0;"f";0;0;"-"
"b";"u";"m";"v";"f";"f";0;"t";320;0;"-"
"a";"u";"j";"j";"f";"f";0;"t";276;1;"-"
"b";"u";"c";"bb";"t";"t";16;"f";117;1210;"+"
"b";"u";"w";"v";"t";"f";0;"t";260;0;"-"
"b";"u";"ff";"ff";"f";"f";0;"f";160;25;"-"
"a";"y";"x";"h";"t";"t";4;"f";0;321;"+"
"b";"y";"w";"v";"t";"t";1;"f";50;1187;"+"
"b";"u";"ff";"ff";"f";"f";0;"f";80;0;"-"
"b";"u";"x";"v";"t";"t";1;"t";395;20;"+"
"b";"u";"k";"v";"t";"f";0;"t";280;0;"+"
"b";"u";"w";"v";"f";"t";1;"f";0;6;"-"
"b";"u";"c";"bb";"t";"f";0;"f";349;23;"+"
"b";"u";"q";"v";"t";"t";1;"f";160;0;"-"
"b";"u";"w";"v";"f";"t";1;"f";340;2803;"-"
"b";"u";"i";"v";"t";"t";9;"f";56;742;"+"
"b";"u";"w";"h";"t";"t";12;"f";0;790;"+"
"b";"u";"c";"v";"t";"t";16;"f";0;5000;"+"
"b";"u";"i";"v";"f";"t";1;"t";400;9;"-"
"a";"u";"aa";"v";"t";"t";3;"f";80;918;"+"
"b";"u";"i";"v";"f";"f";0;"t";140;2;"-"
"a";"u";"k";"h";"f";"f";0;"t";240;0;"-"
"b";"y";"c";"bb";"t";"f";0;"t";164;400;"-"
"b";"u";"ff";"ff";"f";"t";1;"f";96;19;"-"
"b";"u";"i";"h";"t";"f";0;"t";320;0;"+"
"a";"u";"ff";"ff";"f";"t";10;"f";200;18;"-"
"b";"u";"aa";"v";"f";"f";0;"f";0;0;"-"
"a";"u";"c";"v";"f";"t";1;"t";80;5;"-"
"b";"u";"ff";"ff";"f";"f";0;"f";145;0;"-"
"a";"u";"x";"h";"t";"f";0;"t";160;5860;"+"
"b";"u";"x";"h";"t";"f";0;"f";0;5298;"+"
"b";"u";"d";"h";"f";"f";0;"f";228;0;"-"
"b";"y";"aa";"v";"t";"f";0;"f";180;1;"-"
"b";"u";"x";"h";"t";"t";6;"t";0;1000;"+"
"b";"u";"ff";"ff";"f";"f";0;"f";200;3;"-"
"b";"y";"k";"v";"f";"f";0;"f";200;70;"-"
"a";"u";"q";"v";"t";"t";4;"f";80;0;"+"
"b";"u";"c";"v";"t";"t";17;"f";200;1208;"+"
"b";"u";"w";"v";"t";"t";1;"f";80;278;"+"
"a";"y";"x";"h";"t";"t";1;"f";70;0;"+"
"b";"u";"c";"v";"t";"t";10;"f";186;4700;"+"
"b";"y";"e";"dd";"f";"f";0;"f";100;0;"-"
"b";"u";"aa";"v";"f";"f";0;"t";100;0;"-"
"b";"u";"c";"v";"t";"t";5;"t";312;0;"+"
"a";"u";"c";"h";"t";"f";0;"t";491;0;"+"
"b";"u";"ff";"ff";"f";"f";0;"f";0;1000;"-"
"b";"u";"c";"h";"t";"f";0;"f";180;0;"-"
"b";"u";"c";"bb";"t";"f";0;"t";280;0;"-"
"a";"u";"q";"v";"t";"t";5;"t";0;560;"+"
"b";"u";"c";"bb";"t";"f";0;"f";0;0;"+"
"b";"u";"w";"v";"f";"f";0;"f";100;0;"-"
"b";"u";"e";"v";"f";"f";0;"f";120;5;"-"
"b";"u";"e";"z";"t";"t";11;"f";0;1200;"+"
"b";"y";"w";"v";"t";"t";6;"f";80;0;"+"
"b";"u";"w";"h";"f";"t";1;"f";120;1;"-"
"b";"u";"c";"v";"f";"f";0;"f";216;0;"-"
"b";"u";"q";"v";"f";"f";0;"f";454;50;"-"
"b";"y";"w";"v";"f";"f";0;"t";309;2;"-"
"b";"y";"d";"v";"f";"f";0;"f";240;3;"-"
"a";"u";"k";"v";"f";"f";0;"t";100;0;"-"
"a";"u";"i";"v";"f";"f";0;"f";200;1000;"-"
"a";"u";"c";"v";"f";"f";0;"t";180;0;"-"
"b";"u";"w";"v";"f";"f";0;"t";300;67;"-"
"a";"y";"ff";"ff";"f";"t";1;"t";200;1;"-"
"a";"u";"c";"v";"t";"t";8;"t";396;4159;"+"
"b";"u";"k";"v";"f";"f";0;"t";160;40;"-"
"b";"y";"c";"h";"f";"f";0;"f";280;204;"-"
"b";"u";"c";"v";"t";"f";0;"t";140;0;"-"
"b";"y";"k";"ff";"f";"f";0;"f";120;0;"-"
"b";"u";"m";"v";"f";"t";1;"t";352;112;"-"
"a";"u";"q";"v";"t";"t";7;"t";0;0;"+"
"b";"u";"m";"v";"t";"t";14;"f";240;4607;"+"
"b";"u";"r";"h";"t";"f";0;"t";164;31285;"+"
"b";"y";"k";"h";"t";"f";0;"f";180;314;"+"
"b";"u";"ff";"ff";"f";"t";2;"f";17;1;"-"
"b";"y";"aa";"v";"t";"t";3;"t";370;560;"+"
"b";"u";"d";"h";"t";"t";6;"f";200;327;"+"
"b";"u";"k";"v";"f";"f";0;"f";180;0;"-"
"a";"u";"q";"v";"f";"f";0;"t";380;0;"-"
"b";"u";"c";"bb";"f";"t";2;"t";200;7;"-"
"b";"u";"aa";"v";"f";"f";0;"f";200;0;"-"
"b";"y";"q";"h";"f";"t";2;"t";369;1;"-"
"b";"u";"d";"v";"f";"f";0;"t";80;0;"-"
"b";"y";"c";"v";"f";"f";0;"t";240;0;"-"
"a";"u";"x";"h";"t";"f";0;"f";360;0;"+"
"b";"u";"w";"v";"t";"t";6;"t";70;0;"+"
"b";"y";"i";"bb";"t";"t";7;"t";195;0;"+"
"b";"u";"ff";"ff";"t";"f";0;"f";130;1;"-"
"b";"u";"d";"v";"t";"t";9;"f";250;730;"+"
"b";"u";"c";"v";"f";"f";0;"f";100;0;"+"
"b";"u";"e";"v";"f";"f";0;"f";600;0;"-"
"b";"u";"aa";"v";"t";"t";5;"t";168;0;"+"
"a";"u";"ff";"ff";"f";"f";0;"f";0;50;"-"
"b";"u";"m";"v";"t";"t";6;"t";360;1332;"+"
"a";"u";"q";"v";"f";"f";0;"f";160;0;"-"
"b";"u";"c";"v";"t";"t";7;"f";0;3065;"+"
"b";"u";"w";"v";"f";"f";0;"f";465;150;"-"
"b";"u";"e";"z";"t";"t";7;"t";22;0;"+"
"a";"u";"ff";"ff";"f";"f";0;"f";76;0;"-"
"b";"y";"e";"h";"t";"f";0;"t";393;0;"+"
"a";"u";"ff";"ff";"f";"t";6;"f";0;200;"-"
"b";"u";"w";"v";"f";"f";0;"f";120;0;"-"
"a";"y";"e";"z";"t";"f";0;"f";0;13212;"+"
"b";"l";"ff";"o";"f";"f";0;"t";450;100000;"+"
"b";"u";"x";"v";"t";"t";7;"t";340;4071;"+"
"b";"u";"aa";"v";"f";"f";0;"f";80;350;"-"
"b";"u";"ff";"ff";"t";"t";1;"f";94;0;"-"
"a";"u";"aa";"h";"t";"f";0;"f";400;0;"-"
"b";"u";"cc";"v";"t";"t";8;"f";330;1200;"+"
"b";"u";"cc";"v";"f";"f";0;"f";100;0;"-"
"a";"y";"aa";"v";"t";"f";0;"t";160;0;"-"
"a";"y";"k";"h";"f";"f";0;"t";20;16;"-"
"b";"y";"m";"v";"f";"f";0;"f";140;0;"-"
"a";"u";"aa";"v";"t";"t";4;"f";0;1583;"+"
"a";"u";"cc";"h";"t";"t";11;"t";440;6;"+"
"a";"u";"w";"v";"f";"f";0;"t";160;0;"-"
"a";"u";"i";"bb";"t";"t";9;"t";0;0;"+"
"b";"u";"q";"h";"t";"t";6;"f";381;168;"+"
"b";"u";"i";"bb";"f";"f";0;"t";141;0;"-"
"b";"u";"q";"h";"t";"t";7;"t";300;5;"-"
"b";"u";"i";"bb";"t";"t";11;"f";0;1249;"+"
"b";"u";"c";"v";"f";"f";0;"t";0;0;"-"
"b";"u";"d";"h";"f";"f";0;"t";292;0;"-"
"b";"y";"ff";"ff";"f";"f";0;"f";180;4;"-"
"a";"u";"aa";"v";"f";"f";0;"f";200;1;"-"
"b";"u";"x";"v";"t";"t";6;"f";520;196;"+"
"b";"u";"q";"h";"t";"f";0;"t";350;0;"+"
"a";"u";"q";"v";"t";"t";3;"f";100;6;"+"
"b";"y";"k";"v";"f";"f";0;"f";140;4;"-"
"a";"u";"c";"v";"t";"t";6;"t";0;1260;"+"
"b";"u";"w";"v";"f";"t";1;"t";100;3;"-"
"a";"u";"aa";"v";"f";"t";2;"t";320;1;"-"
"b";"u";"k";"v";"f";"f";0;"t";280;55;"-"
"b";"u";"i";"bb";"t";"t";15;"t";0;5000;"+"
"a";"u";"cc";"h";"t";"t";9;"t";181;0;"+"
"b";"y";"c";"v";"t";"f";0;"t";0;225;"-"
"b";"u";"k";"v";"t";"t";2;"t";120;5;"-"
"a";"u";"q";"v";"t";"t";5;"f";220;2503;"+"
"b";"y";"aa";"v";"f";"f";0;"t";320;0;"-"
"b";"y";"k";"v";"f";"f";0;"f";160;0;"-"
"b";"u";"c";"v";"f";"f";0;"t";136;1;"-"
"b";"u";"i";"bb";"f";"f";0;"t";232;200;"-"
"a";"u";"q";"h";"t";"t";2;"f";0;5000;"+"
"b";"u";"cc";"h";"t";"t";1;"t";88;2000;"+"
"a";"u";"c";"v";"t";"t";5;"t";140;5;"-"
"b";"y";"m";"bb";"t";"t";1;"t";280;2000;"+"
"a";"u";"aa";"v";"t";"t";3;"t";156;0;"+"
"a";"u";"q";"v";"t";"t";3;"t";0;0;"+"
"a";"y";"j";"j";"f";"f";0;"f";160;20;"-"
"a";"y";"aa";"v";"t";"f";0;"t";370;0;"+"
"a";"u";"i";"bb";"t";"f";0;"t";0;300;"+"
"b";"u";"c";"v";"f";"f";0;"f";0;0;"-"
"b";"u";"c";"v";"f";"f";0;"t";136;0;"-"
"b";"u";"k";"v";"t";"f";0;"f";160;0;"-"
"b";"u";"c";"bb";"t";"f";0;"t";160;0;"+"
"b";"u";"cc";"v";"f";"f";0;"t";0;501;"-"
"b";"u";"c";"v";"t";"t";3;"t";180;0;"-"
"a";"u";"j";"j";"t";"f";0;"t";100;27;"-"
"b";"u";"aa";"bb";"f";"f";0;"t";720;0;"-"
"b";"y";"cc";"v";"t";"t";2;"f";260;500;"+"
"b";"u";"e";"dd";"f";"f";0;"t";140;1110;"-"
"a";"u";"k";"h";"t";"f";0;"t";0;0;"+"
"a";"u";"k";"v";"t";"f";0;"t";0;0;"+"
"a";"y";"ff";"ff";"f";"f";0;"f";0;0;"-"
"b";"y";"k";"v";"t";"t";10;"t";320;0;"+"
"b";"y";"i";"v";"f";"f";0;"t";360;1000;"-"
"a";"u";"i";"bb";"t";"t";4;"f";80;0;"+"
"b";"u";"c";"v";"f";"f";0;"f";80;0;"-"
"b";"u";"x";"v";"t";"t";9;"f";60;396;"+"
"b";"y";"ff";"ff";"f";"f";0;"f";120;1;"-"
"b";"y";"j";"v";"f";"f";0;"f";140;184;"-"
"b";"y";"c";"v";"t";"f";0;"f";80;0;"-"
"b";"u";"q";"h";"f";"f";0;"t";220;251;"-"
"b";"u";"c";"v";"f";"t";2;"t";160;41;"-"
"a";"y";"ff";"ff";"f";"f";0;"f";0;0;"-"
"b";"u";"r";"n";"t";"t";9;"t";0;134;"+"
"a";"u";"d";"v";"f";"f";0;"f";272;0;"-"
"a";"u";"ff";"ff";"f";"t";2;"t";200;4;"-"
"b";"y";"ff";"ff";"f";"f";0;"t";180;1;"-"
"b";"u";"cc";"v";"t";"t";7;"f";0;7059;"+"
"b";"u";"m";"v";"t";"t";1;"f";260;800;"+"
"a";"u";"x";"v";"t";"t";2;"t";519;1704;"+"
"b";"u";"ff";"ff";"t";"t";5;"f";0;8851;"+"
"b";"u";"i";"bb";"f";"f";0;"f";100;2;"-"
"a";"u";"c";"v";"f";"f";0;"f";0;0;"-"
"b";"u";"e";"z";"t";"t";1;"t";0;0;"+"
"b";"u";"q";"v";"f";"f";0;"f";160;1;"-"
